w:            24.000000	                      1.224731875282e+01	                            0.0006780000
w:            34.000000	                      1.224732542723e+01	                            0.0008370001
w:            54.000000	                      1.224732927399e+01	                            0.0012510000
w:            84.000000	                      1.224733075864e+01	                            0.0018440001
w:           124.000000	                      1.224733136662e+01	                            0.0028070000
w:           174.000000	                      1.224733161356e+01	                            0.0039050002
w:           234.000000	                      1.224733172918e+01	                            0.0049860000
w:           304.000000	                      1.224733178768e+01	                            0.0065319999
w:           384.000000	                      1.224733181908e+01	                            0.0096450001
w:           474.000000	                      1.224733183786e+01	                            0.0103470001
w:           574.000000	                      1.224733184880e+01	                            0.0133000000
w:           684.000000	                      1.224733185585e+01	                            0.0149439999
w:           804.000000	                      1.224733186058e+01	                            0.0176120000
w:           934.000000	                      1.224733186377e+01	                            0.0202280001
w:          1074.000000	                      1.224733186602e+01	                            0.0234770000
w:          1224.000000	                      1.224733186756e+01	                            0.0265980000
w:          1384.000000	                      1.224733186874e+01	                            0.0305989999
w:          1554.000000	                      1.224733186960e+01	                            0.0335760000
w:          1734.000000	                      1.224733187025e+01	                            0.0382149999
w:          1924.000000	                      1.224733187074e+01	                            0.0415109999
w:          2124.000000	                      1.224733187112e+01	                            0.0473910000
w:          2334.000000	                      1.224733187143e+01	                            0.0524179998
w:          2554.000000	                      1.224733187166e+01	                            0.0557130000
w:          2784.000000	                      1.224733187185e+01	                            0.0607610000
w:          3024.000000	                      1.224733187201e+01	                            0.0665610000
w:          3274.000000	                      1.224733187214e+01	                            0.0715680001
w:          3534.000000	                      1.224733187225e+01	                            0.0831770001
w:          3804.000000	                      1.224733187233e+01	                            0.0876700000
w:          4084.000000	                      1.224733187241e+01	                            0.0925880000
w:          4374.000000	                      1.224733187247e+01	                            0.1009910000
w:          4674.000000	                      1.224733187252e+01	                            0.1055490000
w:          4984.000000	                      1.224733187256e+01	                            0.1099850000
w:          5304.000000	                      1.224733187260e+01	                            0.1186909999
w:          5634.000000	                      1.224733187263e+01	                            0.1226710000
w:          5974.000000	                      1.224733187266e+01	                            0.1311410000
w:          6324.000000	                      1.224733187268e+01	                            0.1419030002
w:          6684.000000	                      1.224733187270e+01	                            0.1532190000
w:          7054.000000	                      1.224733187272e+01	                            0.1611440000
w:          7434.000000	                      1.224733187274e+01	                            0.1860260002
w:          7824.000000	                      1.224733187275e+01	                            0.1716110001
w:          8224.000000	                      1.224733187277e+01	                            0.1860370000
w:          8634.000000	                      1.224733187278e+01	                            0.2035280000
w:          9054.000000	                      1.224733187279e+01	                            0.2062810000
w:          9484.000000	                      1.224733187279e+01	                            0.2165870001
w:          9924.000000	                      1.224733187280e+01	                            0.2245860000
w:         10374.000000	                      1.224733187281e+01	                            0.2270350000
